1974 XVI,coma.45p
1974f,coma.45p
1969 V,coma.45p
1969e,coma.45p
1964 VII,coma.45p
1964d,coma.45p
45P/1954 C1,coma.45p
1954 III,coma.45p
1954a,coma.45p
1948 XII,coma.45p
1948n,coma.45p
46P/1948 A1,coma.46p
Wirtanen 1,coma.46p
1991 XVI,coma.46p
1991s,coma.46p
1986 VI,coma.46p
1985q,coma.46p
1974 XI,coma.46p
1974i,coma.46p
1967 XIV,coma.46p
1967k,coma.46p
1961 IV,coma.46p
1960m,coma.46p
46P/1954 R2,coma.46p
1954 XI,coma.46p
1954j,coma.46p
1947 XIII,coma.46p
1948b,coma.46p
47P/1948 Q1,coma.47p
Ashbrook-Jackson 1,coma.47p
1993 XIII,coma.47p
1992j,coma.47p
1986 II,coma.47p
1985a,coma.47p
1978 XIV,coma.47p
1977g,coma.47p
1971 III,coma.47p
1970e,coma.47p
47P/1955 H1,coma.47p
1956 II,coma.47p
1962e,coma.47p
1948 IX,coma.47p
1948i,coma.47p
48P/1949 Q1,coma.48p
Johnson 1,coma.48p
1990 XXIII,coma.48p
1990h,coma.48p
1983 XVIII,coma.48p
1983h,coma.48p
1977 I,coma.48p
1976h,coma.48p
1970 IV,coma.48p
1970h,coma.48p
1963 IV,coma.48p
1963c,coma.48p
48P/1956 P1,coma.48p
1956 V,coma.48p
1956f,coma.48p
1949 II,coma.48p
1949d,coma.48p
49P/1951 C2,coma.49p
Arend-Rigaux 1,coma.49p
1991 XVII,coma.49p
1984 XXI,coma.49p
1984k,coma.49p
1978 III,coma.49p
1977k,coma.49p
1971 IV,coma.49p
1970j,coma.49p
1964 V,coma.49p
1963g,coma.49p
49P/1958 B1,coma.49p
1957 VII,coma.49p
1958b,coma.49p
1950 VII,coma.49p
1951b,coma.49p
50P/1951 T1,coma.50p
Arend 1,coma.50p
1991 VIII,coma.50p
1991u,coma.50p
1983 VIII,coma.50p
1983q,coma.50p
1975 VI,coma.50p
1975m,coma.50p
1967 VI,coma.50p
1967l,coma.50p
50P/1959 N1,coma.50p
1959 V,coma.50p
1959c,coma.50p
1951 X,coma.50p
1951j,coma.50p
51P/1953 P1,coma.51p
Harrington 1,coma.51p
1994 XXII,coma.51p
1994g,coma.51p
1987 XXVIII,coma.51p
1987n,coma.51p
1980 XIV,coma.51p
1980m,coma.51p
51P/1960 P1,coma.51p
1960 VII,coma.51p
1960g,coma.51p
1953 VI,coma.51p
1953e,coma.51p
51P/1953 P1-A,coma.51p--a
Harrington 1-A,coma.51p--a
51P/1953 P1-D,coma.51p--d
Harrington 1-D,coma.51p--d
52P/1955 F1,coma.52p
Harrington-Abell 1,coma.52p
1991 X,coma.52p
1990m,coma.52p
1983 XVII,coma.52p
1983r,coma.52p
1976 VIII,coma.52p
1975l,coma.52p
1969 III,coma.52p
1968i,coma.52p
52P/1962 B1,coma.52p
1962 II,coma.52p
1962a,coma.52p
1954 XIII,coma.52p
1955a,coma.52p
53P/1954 R1,coma.53p
Van Biesbroeck 1,coma.53p
1991 VI,coma.53p
1989h1,coma.53p
1978 XXIV,coma.53p
1977s,coma.53p
53P/1965 J1,coma.53p
1966 III,coma.53p
1965d,coma.53p
1954 IV,coma.53p
1954i,coma.53p
54P/1844 Q1,coma.54p
de Vico-Swift-NEAT 1,coma.54p
54P/2002 T4,coma.54p
54P/1965 M1,coma.54p
1965 VII,coma.54p
1965e,coma.54p
54P/1894 W1,coma.54p
1894 IV,coma.54p
1894e,coma.54p
1844 I,coma.54p
55P/1865 Y1,coma.55p
Tempel-Tuttle,coma.55p
55P/1997 E1,coma.55p
55P/1965 M2,coma.55p
1965 IV,coma.55p
1965i,coma.55p
1866 I,coma.55p
55P/1699 U1,coma.55p
1699 II,coma.55p
55P/1366 U1,coma.55p
56P/1959 B1,coma.56p
Slaughter-Burnham 1,coma.56p
1993 X,coma.56p
1992w,coma.56p
1981 XVIII,coma.56p
1981i,coma.56p
56P/1969 V1,coma.56p
1970 V,coma.56p
1969f,coma.56p
1958 VI,coma.56p
1959a,coma.56p
57P/1941 O1,coma.57p
duToit-Neujmin-Delporte 1,coma.57p
1983 IX,coma.57p
1983g,coma.57p
1989 XIV,coma.57p
1989l,coma.57p
57P/1941 OE,coma.57p
1941 VII,coma.57p
1941e,coma.57p
57P/1970 N2,coma.57p
1970 XIII,coma.57p
1970i,coma.57p
57P/1983 RD6,coma.57p
57P/1941 O1-A,coma.57p--a
duToit-Neujmin-Delporte 1-A,coma.57p--a
58P/1936 S1,coma.58p
Jackson-Neujmin 1,coma.58p
1987 VIII,coma.58p
1987t,coma.58p
1978 XXVI,coma.58p
1978q,coma.58p
58P/1970 R1,coma.58p
1970 IX,coma.58p
1970k,coma.58p
1936 IV,coma.58p
1936c,coma.58p
59P/1963 Q1,coma.59p
